32	1361250506
31	1361250806
32	1361251106
33	1361251406
33	1361251706
31	1361252005
33	1361252305
32	1361252606
32	1361252906
32	1361253206
32	1361253506
33	1361253806
32	1361254105
32	1361254406
33	1361254706
32	1361255006
33	1361255306
32	1361255606
33	1361255906
32	1361256206
32	1361256506
32	1361256806
33	1361257106
33	1361257406
32	1361257706
33	1361258006
33	1361258306
32	1361258606
33	1361258906
32	1361259206
31	1361259506
32	1361259806
32	1361260106
32	1361260407
33	1361260707
33	1361261006
33	1361261306
31	1361261607
33	1361261906
32	1361262206
33	1361262506
31	1361262806
32	1361263106
32	1361263407
32	1361263707
33	1361264007
32	1361264306
32	1361264606
45	1361264906
45	1361265207
44	1361265507
45	1361265807
45	1361266107
45	1361266406
44	1361266707
45	1361267006
45	1361267307
44	1361267607
45	1361267907
47	1361268207
44	1361268507
45	1361268807
46	1361269107
45	1361269406
46	1361269707
46	1361270007
46	1361270307
44	1361270607
46	1361270906
45	1361271207
45	1361271506
44	1361271807
45	1361272107
45	1361272407
46	1361272707
45	1361273007
43	1361273307
43	1361273607
45	1361273907
45	1361274207
45	1361274508
44	1361274807
44	1361275107
45	1361275408
45	1361275707
46	1361276008
43	1361276307
32	1361276607
32	1361276907
32	1361277207
32	1361277507
32	1361277807
32	1361278108
32	1361278408
33	1361278707
33	1361279007
31	1361279307
31	1361279607
32	1361279907
31	1361280208
31	1361280508
32	1361280807
32	1361281107
31	1361281407
31	1361281707
31	1361282008
31	1361282308
32	1361282607
32	1361282907
30	1361283207
33	1361283507
32	1361283808
32	1361284108
31	1361284408
31	1361284707
31	1361285007
33	1361285307
32	1361285608
31	1361285908
31	1361286208
31	1361286507
31	1361286807
32	1361287107
32	1361287408
31	1361287708
31	1361288008
31	1361288308
31	1361288607
31	1361288907
32	1361289208
